name,record,height,weight,reach,stance,dob,event_name,f1_name_a,f1_name_span,f2_name_a,f2_name_span,weightclass,rounds,time,f1_result,f2_result,f1_kd,f2_kd,f1_sig_str,f2_sig_str,f1_sig_str_perc,f2_sig_str_perc,f1_tot_str,f2_tot_str,f1_td,f2_td,f1_td_perc,f2_td_perc,f1_sub_att,f2_sub_att,f1_pass,f2_pass,f1_rev,f2_rev,f1_sig_str_head,f2_sig_str_head,f1_sig_str_body,f2_sig_str_body,f1_sig_str_leg,f2_sig_str_leg,f1_sig_str_dist,f2_sig_str_dist,f1_sig_str_clinch,f2_sig_str_clinch,f1_sig_str_ground,f2_sig_str_ground
"
                Joe Veres

            ","
                Record: 4-3-0
            ","
      5' 7""
    ","
      155 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Nov 09, 1977
      
    ","

  UFC Fight Night: Thomas vs Florian

   ",Gray Maynard ,,,Joe Veres,"
      
      Lightweight Bout
    ","
        ,
        1
      ","
        ,
        
        0:09

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      3 of 4
    ","
      0 of 0
    ","
      75%
    ","
      0%
    ","
      3 of 4
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      3 of 4
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      2 of 3
    ","
      0 of 0
    "
"
                Ernie Verdicia

            ","
                Record: 0-1-0
            ","
      5' 11""
    ","
      199 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        --
      
    ","

  UFC 5: The Return of the Beast

   ",,Oleg Taktarov,,Ernie Verdicia,"
      
      Open Weight Bout
    ","
        ,
        1
      ","
        ,
        
        2:23

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      0 of 0
    ","
      2 of 5
    ","
      0%
    ","
      40%
    ","
      0 of 0
    ","
      7 of 11
    ","
      0 of 1
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      1
    ","
      0
    ","
      1
    ","
      0
    ","
      1
    ","
      0
    ","
      0 of 0
    ","
      2 of 5
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      2 of 3
    "
"
                Marlon Vera

            ","
                Record: 15-5-1
            ","
      5' 8""
    ","
      135 lbs.
    ","
      70""
    ","
      Switch
    ","
      
        Dec 02, 1992
      
    ","

  UFC 180: Werdum vs Hunt

   ",Marco Beltran ,,Marlon Vera ,,"
      
      Bantamweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      31 of 62
    ","
      25 of 56
    ","
      50%
    ","
      44%
    ","
      70 of 104
    ","
      30 of 62
    ","
      1 of 4
    ","
      1 of 1
    ","
      25%
    ","
      100%
    ","
      0
    ","
      2
    ","
      2
    ","
      7
    ","
      1
    ","
      0
    ","
      22 of 50
    ","
      20 of 46
    ","
      4 of 7
    ","
      5 of 10
    ","
      5 of 5
    ","
      0 of 0
    ","
      10 of 29
    ","
      7 of 26
    ","
      6 of 8
    ","
      2 of 2
    ","
      15 of 25
    ","
      16 of 28
    "
"
                Kerry Vera

            ","
                Record: 2-0-0
            ","
      5' 7""
    ","
      135 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        --
      
    ","

  Strikeforce Challengers 5

   ",Kerry Vera ,,,Kim Couture,"
      
      Women's Bantamweight Bout
    ","
        ,
        1
      ","
        ,
        
        3:35

      ","
    W
  ","
    L
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
                Brandon Vera

            ","
                Record: 12-7-0 (1 NC)
            ","
      6' 3""
    ","
      230 lbs.
    ","
      76""
    ","
      Orthodox
    ","
      
        Oct 10, 1977
      
    ","

  WEC 13: Heavyweight Explosion

   ",Brandon Vera ,,,Mike Whitehead,"
      
      Heavyweight Bout
    ","
        ,
        2
      ","
        ,
        
        1:12

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      7 of 11
    ","
      1 of 2
    ","
      63%
    ","
      50%
    ","
      21 of 25
    ","
      18 of 21
    ","
      0 of 0
    ","
      2 of 3
    ","
      0%
    ","
      66%
    ","
      0
    ","
      0
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      4 of 7
    ","
      1 of 2
    ","
      2 of 3
    ","
      0 of 0
    ","
      1 of 1
    ","
      0 of 0
    ","
      4 of 7
    ","
      1 of 2
    ","
      1 of 2
    ","
      0 of 0
    ","
      2 of 2
    ","
      0 of 0
    "
"
                Scott Ventimiglia

            ","
                Record: 14-6-1
            ","
      5' 11""
    ","
      185 lbs.
    ","
      --
    ","
      
    ","
      
        Nov 17, 1972
      
    ","

  Strikeforce - Lawler vs. Shields

   ",,Lucas Lopes,,Scott Ventimiglia,"
      
      Middleweight Bout
    ","
        ,
        1
      ","
        ,
        
        3:26

      ","
    W
  ","
    L
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
                Jerrel Venetiaan

            ","
                Record: 4-3-0 (1 NC)
            ","
      6' 1""
    ","
      195 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Mar 09, 1971
      
    ","

  PRIDE Shockwave 2002

   ",,Jerrel Venetiaan,,Daijiro Matsui,"
      
      Open Weight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      19 of 61
    ","
      1 of 16
    ","
      31%
    ","
      6%
    ","
      51 of 98
    ","
      42 of 64
    ","
      0 of 0
    ","
      5 of 17
    ","
      0%
    ","
      29%
    ","
      0
    ","
      1
    ","
      0
    ","
      4
    ","
      1
    ","
      0
    ","
      8 of 40
    ","
      1 of 13
    ","
      9 of 14
    ","
      0 of 2
    ","
      2 of 7
    ","
      0 of 1
    ","
      6 of 37
    ","
      0 of 11
    ","
      0 of 0
    ","
      0 of 0
    ","
      13 of 24
    ","
      1 of 5
    "
"
                Luigi Vendramini

            ","
                Record: 8-1-0
            ","
      5' 8""
    ","
      170 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Jan 16, 1996
      
    ","

  UFC Fight Night: Marreta vs. Anders

   ",Elizeu Zaleski dos Santos ,,Luigi Vendramini ,,"
      
      Welterweight Bout
    ","
        ,
        2
      ","
        ,
        
        1:20

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      15 of 32
    ","
      4 of 17
    ","
      46%
    ","
      23%
    ","
      15 of 32
    ","
      7 of 21
    ","
      0 of 0
    ","
      0 of 5
    ","
      0%
    ","
      0%
    ","
      0
    ","
      1
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      8 of 24
    ","
      1 of 11
    ","
      2 of 3
    ","
      2 of 3
    ","
      5 of 5
    ","
      1 of 3
    ","
      9 of 24
    ","
      4 of 17
    ","
      3 of 4
    ","
      0 of 0
    ","
      3 of 4
    ","
      0 of 0
    "
"
                Karlos Vemola

            ","
                Record: 10-4-0
            ","
      6' 0""
    ","
      185 lbs.
    ","
      75""
    ","
      Orthodox
    ","
      
        Jul 03, 1985
      
    ","

  UFC 116: Lesnar vs Carwin

   ",,Jon Madsen,Karlos Vemola ,,"
      
      Heavyweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      37 of 53
    ","
      16 of 42
    ","
      69%
    ","
      38%
    ","
      118 of 140
    ","
      21 of 47
    ","
      3 of 4
    ","
      0 of 3
    ","
      75%
    ","
      0%
    ","
      0
    ","
      1
    ","
      4
    ","
      0
    ","
      0
    ","
      0
    ","
      14 of 27
    ","
      2 of 25
    ","
      5 of 6
    ","
      10 of 13
    ","
      18 of 20
    ","
      4 of 4
    ","
      4 of 15
    ","
      4 of 27
    ","
      26 of 30
    ","
      12 of 15
    ","
      7 of 8
    ","
      0 of 0
    "
"
                Bojan Velickovic

            ","
                Record: 15-6-1
            ","
      6' 0""
    ","
      170 lbs.
    ","
      76""
    ","
      Southpaw
    ","
      
        Dec 18, 1988
      
    ","

  UFC Fight Night: Rothwell vs Dos Santos

   ",Alessio Di Chirico ,,Bojan Velickovic ,,"
      
      Middleweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      65 of 148
    ","
      45 of 135
    ","
      43%
    ","
      33%
    ","
      78 of 161
    ","
      56 of 148
    ","
      2 of 3
    ","
      1 of 5
    ","
      66%
    ","
      20%
    ","
      0
    ","
      1
    ","
      1
    ","
      1
    ","
      0
    ","
      1
    ","
      40 of 111
    ","
      16 of 89
    ","
      16 of 25
    ","
      9 of 17
    ","
      9 of 12
    ","
      20 of 29
    ","
      61 of 142
    ","
      43 of 131
    ","
      2 of 3
    ","
      2 of 4
    ","
      2 of 3
    ","
      0 of 0
    "
"
                David Velasquez

            ","
                Record: 10-9-0
            ","
      5' 5""
    ","
      145 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        --
      
    ","

  UFC 24: First Defense

   ",,Jens Pulver,,David Velasquez,"
      
      Lightweight Bout
    ","
        ,
        2
      ","
        ,
        
        2:41

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      54 of 107
    ","
      20 of 37
    ","
      50%
    ","
      54%
    ","
      69 of 123
    ","
      44 of 64
    ","
      3 of 3
    ","
      0 of 0
    ","
      100%
    ","
      0%
    ","
      2
    ","
      0
    ","
      4
    ","
      0
    ","
      0
    ","
      0
    ","
      42 of 94
    ","
      7 of 20
    ","
      12 of 13
    ","
      8 of 10
    ","
      0 of 0
    ","
      5 of 7
    ","
      1 of 3
    ","
      6 of 17
    ","
      17 of 25
    ","
      12 of 17
    ","
      36 of 79
    ","
      2 of 3
    "
"
                Joe Vedepo

            ","
                Record: 11-5-0
            ","
      6' 0""
    ","
      185 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        --
      
    ","

  UFC Fight Night: Diaz vs Neer

   ",Alessio Sakara ,,,Joe Vedepo,"
      ,
      Middleweight Bout
    ","
        ,
        1
      ","
        ,
        
        1:27

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      7 of 10
    ","
      7 of 9
    ","
      70%
    ","
      77%
    ","
      7 of 10
    ","
      8 of 10
    ","
      0 of 0
    ","
      0 of 3
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      3 of 6
    ","
      5 of 7
    ","
      3 of 3
    ","
      2 of 2
    ","
      1 of 1
    ","
      0 of 0
    ","
      4 of 7
    ","
      0 of 2
    ","
      2 of 2
    ","
      7 of 7
    ","
      1 of 1
    ","
      0 of 0
    "
"
                Cain Velasquez

            ","
                Record: 14-3-0
            ","
      6' 1""
    ","
      240 lbs.
    ","
      77""
    ","
      Orthodox
    ","
      
        Jul 28, 1982
      
    ","

  Strikeforce - Tank vs. Buentello

   ",Cain Velasquez ,,,Jesse Fujarczyk,"
      
      Heavyweight Bout
    ","
        ,
        1
      ","
        ,
        
        1:58

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      13 of 15
    ","
      1 of 2
    ","
      86%
    ","
      50%
    ","
      52 of 59
    ","
      1 of 2
    ","
      2 of 3
    ","
      0 of 0
    ","
      66%
    ","
      0%
    ","
      0
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      0
    ","
      12 of 14
    ","
      0 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 1
    ","
      1 of 1
    ","
      1 of 1
    ","
      1 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      12 of 14
    ","
      0 of 0
    "
"
                Matt Veach

            ","
                Record: 15-4-0
            ","
      5' 11""
    ","
      155 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        May 31, 1981
      
    ","

  UFC Fight Night: Lauzon vs Stephens

   ",,Matt Veach,Matt Grice ,,"
      
      Lightweight Bout
    ","
        ,
        1
      ","
        ,
        
        4:34

      ","
    W
  ","
    L
  ","
      1
    ","
      1
    ","
      12 of 29
    ","
      29 of 48
    ","
      41%
    ","
      60%
    ","
      22 of 40
    ","
      51 of 72
    ","
      1 of 3
    ","
      0 of 0
    ","
      33%
    ","
      0%
    ","
      0
    ","
      1
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      11 of 27
    ","
      26 of 45
    ","
      0 of 1
    ","
      2 of 2
    ","
      1 of 1
    ","
      1 of 1
    ","
      5 of 13
    ","
      6 of 15
    ","
      5 of 10
    ","
      9 of 15
    ","
      2 of 6
    ","
      14 of 18
    "
"
                Matt Veach

            ","
                Record: 15-4-0
            ","
      5' 11""
    ","
      155 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        May 31, 1981
      
    ","

  The Ultimate Fighter: Heavyweights Finale

   ",Frankie Edgar ,,,Matt Veach,"
      ,
      Lightweight Bout
    ","
        ,
        2
      ","
        ,
        
        2:20

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      25 of 61
    ","
      7 of 42
    ","
      40%
    ","
      16%
    ","
      36 of 72
    ","
      7 of 42
    ","
      0 of 3
    ","
      3 of 9
    ","
      0%
    ","
      33%
    ","
      1
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      19 of 49
    ","
      5 of 39
    ","
      5 of 10
    ","
      2 of 2
    ","
      1 of 2
    ","
      0 of 1
    ","
      11 of 38
    ","
      5 of 35
    ","
      2 of 5
    ","
      2 of 7
    ","
      12 of 18
    ","
      0 of 0
    "
"
                Javier Vazquez

            ","
                Record: 16-5-0
            ","
      5' 7""
    ","
      145 lbs.
    ","
      69""
    ","
      Southpaw
    ","
      
        Jul 16, 1977
      
    ","

  WEC 42: Torres vs. Bowles

   ",,LC Davis,,Javier Vazquez,"
      
      Featherweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      34 of 225
    ","
      40 of 146
    ","
      15%
    ","
      27%
    ","
      42 of 234
    ","
      57 of 163
    ","
      0 of 0
    ","
      2 of 8
    ","
      0%
    ","
      25%
    ","
      0
    ","
      1
    ","
      1
    ","
      1
    ","
      0
    ","
      0
    ","
      23 of 212
    ","
      35 of 135
    ","
      3 of 3
    ","
      1 of 5
    ","
      8 of 10
    ","
      4 of 6
    ","
      29 of 214
    ","
      38 of 144
    ","
      4 of 4
    ","
      1 of 1
    ","
      1 of 7
    ","
      1 of 1
    "
"
                Yuri Vaulin

            ","
                Record: 0-1-0
            ","
      6' 4""
    ","
      197 lbs.
    ","
      --
    ","
      Southpaw
    ","
      
        --
      
    ","

  UFC 14: Showdown

   ",,Joe Moreira,,Yuri Vaulin,"
      
      Lightweight Bout
    ","
        ,
        2
      ","
        ,
        
        3:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      7 of 9
    ","
      1 of 5
    ","
      77%
    ","
      20%
    ","
      76 of 80
    ","
      114 of 131
    ","
      3 of 3
    ","
      0 of 0
    ","
      100%
    ","
      0%
    ","
      0
    ","
      0
    ","
      7
    ","
      0
    ","
      0
    ","
      0
    ","
      7 of 8
    ","
      1 of 5
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 1
    ","
      0 of 0
    ","
      0 of 1
    ","
      1 of 5
    ","
      0 of 0
    ","
      0 of 0
    ","
      7 of 8
    ","
      0 of 0
    "
